Datetime,Sentiment,Category,Score
2020-11-07 09:43:50,negative,Studying,0
2021-06-17 12:22:51,negative,Studying,10
2021-04-18 05:13:58,negative,Studying,15
2021-01-06 19:13:01,negative,Studying,0
2020-08-23 12:25:58,positive,Studying,30
2020-12-07 06:27:54,neutral,Studying,35
2021-04-11 17:35:49,positive,Studying,70
2021-01-27 08:32:09,negative,Studying,5
2021-04-01 22:54:23,neutral,Studying,35
2020-11-07 08:36:27,neutral,Studying,20
2020-11-02 06:28:53,negative,Studying,15
2020-11-01 01:16:21,positive,Studying,30
2020-10-07 18:39:08,negative,Studying,5
2020-09-03 18:51:38,negative,Studying,15
2021-02-24 05:09:23,positive,Studying,75
2020-09-23 06:24:11,neutral,Studying,35
2021-02-24 11:37:57,neutral,Studying,20
2021-05-22 19:44:23,positive,Studying,30
2020-11-20 17:26:23,neutral,Studying,35
2021-04-11 20:47:13,negative,Studying,12
2021-06-13 16:46:06,positive,Studying,50
2021-04-11 14:29:59,positive,Studying,60
2021-03-02 19:21:19,negative,Studying,12
2020-06-27 18:44:39,negative,Studying,5
2021-05-09 21:05:17,negative,Studying,5
2020-08-04 23:58:42,positive,Studying,70
2020-08-28 03:57:20,positive,Studying,75
2021-04-20 23:48:12,negative,Studying,15
2021-03-07 12:40:11,positive,Studying,30
2021-05-24 03:21:13,neutral,Studying,20
2021-01-24 11:03:43,positive,Studying,75
2021-04-09 02:46:20,negative,Studying,0
2021-02-02 03:43:43,positive,Studying,75
2021-02-04 03:06:12,positive,Studying,30
2020-11-09 02:49:59,negative,Studying,10
2020-09-29 16:00:27,negative,Studying,15
2021-02-13 07:54:01,positive,Studying,70
2020-07-14 05:28:44,positive,Studying,30
2020-08-23 10:30:37,neutral,Studying,20
2021-05-10 09:27:42,negative,Studying,12
2021-03-15 03:59:11,negative,Studying,5
2020-06-25 17:01:58,negative,healthy eating,10
2020-09-13 00:11:50,positive,healthy eating,45
2020-08-20 18:17:06,neutral,healthy eating,35
2021-02-11 04:53:56,negative,healthy eating,15
2021-03-08 10:40:53,negative,healthy eating,5
2021-03-28 21:15:26,negative,healthy eating,0
2021-05-25 01:00:28,negative,healthy eating,5
2021-03-15 12:17:43,positive,healthy eating,50
2021-05-05 16:26:43,positive,healthy eating,65
2021-06-16 03:02:28,positive,healthy eating,60
2020-07-07 10:52:30,neutral,healthy eating,20
2020-08-20 07:59:11,neutral,healthy eating,35
2020-09-23 11:15:19,positive,healthy eating,65
2021-03-24 05:56:19,positive,healthy eating,50
2020-12-07 19:13:23,negative,healthy eating,5
2020-08-03 16:41:04,positive,healthy eating,75
2021-01-10 15:36:01,positive,healthy eating,72
2020-09-20 08:48:13,negative,healthy eating,15
2020-07-20 14:06:31,positive,healthy eating,70
2020-10-24 12:15:34,positive,healthy eating,72
2021-06-06 01:27:19,positive,healthy eating,30
2020-12-25 00:09:41,positive,healthy eating,60
2021-06-14 07:56:56,positive,healthy eating,50
2020-11-18 23:37:37,negative,healthy eating,5
2021-05-09 02:42:43,positive,healthy eating,30
2021-05-11 08:38:47,negative,healthy eating,10
2020-11-12 08:00:05,neutral,healthy eating,35
2020-06-21 16:57:09,positive,healthy eating,60
2021-03-04 23:58:54,positive,healthy eating,75
2020-07-09 16:47:07,positive,healthy eating,70
2020-08-01 19:16:01,negative,healthy eating,5
2020-11-23 22:46:17,negative,healthy eating,10
2021-04-23 23:41:18,negative,healthy eating,10
2020-11-13 00:33:42,positive,healthy eating,70
2021-06-09 10:13:56,positive,healthy eating,30
2020-10-29 19:41:49,positive,healthy eating,65
2021-05-14 12:47:27,positive,healthy eating,60
2020-08-04 05:40:33,negative,healthy eating,0
2020-08-07 04:09:29,positive,healthy eating,72
2020-10-23 21:19:27,positive,healthy eating,72
2020-11-14 23:53:51,positive,healthy eating,72
2020-11-12 04:54:46,positive,healthy eating,30
2021-04-03 12:17:12,negative,technology,12
2020-09-27 22:15:54,positive,technology,70
2020-10-27 05:45:15,positive,technology,60
2020-10-15 09:11:23,negative,technology,15
2021-05-07 09:16:35,positive,technology,60
2020-09-16 08:39:40,negative,technology,5
2020-10-29 15:38:26,neutral,technology,20
2021-05-24 18:03:26,negative,food,15
2021-02-12 16:37:36,positive,dogs,70
2021-04-28 15:22:49,positive,dogs,60
2021-01-24 00:38:50,positive,dogs,45
2021-03-18 01:53:44,negative,dogs,12
2021-01-14 07:21:32,negative,dogs,0
2020-12-23 04:11:42,positive,dogs,60
2021-05-21 07:23:46,negative,dogs,5
2021-03-28 23:25:16,positive,dogs,50
2020-09-16 07:33:24,neutral,dogs,35
2021-03-06 05:23:29,positive,dogs,60
2021-01-13 23:35:56,negative,dogs,0
2020-09-06 22:35:47,positive,dogs,70
2020-06-24 09:31:00,positive,dogs,30
2021-02-07 21:39:16,negative,dogs,5
2021-01-21 18:28:01,positive,dogs,45
2021-02-27 00:21:50,negative,dogs,10
2020-08-22 12:06:49,negative,dogs,12
2020-08-03 06:29:58,positive,dogs,70
2021-06-04 04:57:36,positive,dogs,70
2020-10-21 09:07:21,positive,dogs,75
2020-12-26 19:46:34,negative,dogs,10
2021-03-02 22:47:19,negative,dogs,15
2021-03-31 09:48:00,neutral,dogs,20
2021-06-14 13:44:48,positive,dogs,30
2020-12-27 17:04:31,negative,dogs,15
2021-02-11 03:51:01,negative,dogs,15
2020-12-07 19:07:35,positive,dogs,30
2020-10-26 05:27:32,positive,dogs,30
2020-09-26 18:43:58,negative,dogs,12
2020-11-25 13:01:22,negative,dogs,15
2020-07-11 05:51:54,positive,dogs,60
2021-03-19 16:23:19,positive,dogs,60
2020-10-11 18:31:06,positive,dogs,30
2020-11-02 20:15:03,positive,dogs,60
2020-10-01 03:35:13,positive,dogs,70
2021-02-11 20:10:20,negative,dogs,0
2020-10-17 11:46:24,negative,dogs,5
2020-08-09 19:41:24,positive,dogs,50
2021-02-01 02:40:09,positive,dogs,65
2021-01-30 09:36:48,positive,dogs,72
2021-03-31 15:24:36,positive,technology,70
2021-02-05 17:00:19,positive,technology,75
2021-02-19 16:29:59,positive,technology,60
2020-07-25 00:00:21,negative,technology,12
2020-07-13 02:38:53,positive,soccer,72
2021-01-13 13:11:03,neutral,soccer,20
2021-01-02 16:46:38,negative,soccer,12
2020-11-26 02:25:57,positive,soccer,45
2020-08-25 19:18:58,positive,soccer,70
2021-02-01 00:15:07,negative,soccer,5
2021-06-04 14:36:48,positive,soccer,65
2020-08-19 13:38:44,positive,soccer,72
2021-04-22 02:08:07,positive,soccer,70
2020-08-15 18:16:38,positive,soccer,50
2020-11-26 13:42:17,positive,soccer,65
2021-04-14 00:56:54,positive,public speaking,70
2020-07-21 21:27:18,neutral,public speaking,20
2021-03-29 06:57:35,negative,public speaking,10
2021-05-20 16:11:03,positive,public speaking,70
2020-11-02 06:09:02,positive,public speaking,50
2020-10-24 15:37:55,neutral,public speaking,20
2020-09-07 14:42:05,positive,public speaking,60
2021-03-04 02:46:37,negative,public speaking,15
2021-01-07 14:08:59,positive,public speaking,72
2021-03-27 04:56:15,positive,public speaking,50
2020-11-21 21:25:27,positive,public speaking,45
2020-08-22 01:25:23,positive,public speaking,70
2021-06-14 11:45:51,neutral,public speaking,35
2020-07-15 19:28:53,negative,public speaking,12
2021-03-21 14:39:14,positive,public speaking,45
2021-04-07 03:15:32,positive,public speaking,75
2021-04-24 06:56:18,positive,public speaking,70
2020-09-30 14:05:52,positive,public speaking,60
2021-01-21 07:08:24,negative,public speaking,15
2021-01-31 13:48:15,negative,public speaking,15
2020-12-24 03:24:57,negative,public speaking,5
2021-05-27 01:44:22,negative,public speaking,0
2021-02-13 04:14:45,negative,public speaking,0
2020-07-14 04:36:58,positive,public speaking,72
2020-07-15 16:03:17,negative,public speaking,10
2020-10-08 17:23:39,positive,public speaking,50
2020-11-12 23:55:59,positive,public speaking,60
2020-07-09 08:58:04,positive,public speaking,45
2020-06-26 23:45:10,positive,public speaking,72
2020-11-20 13:18:45,negative,public speaking,12
2021-05-29 21:34:57,positive,public speaking,50
2021-02-22 02:48:34,neutral,public speaking,20
2021-01-07 18:39:43,negative,public speaking,15
2020-10-01 15:10:15,positive,public speaking,72
2020-11-21 08:24:23,negative,public speaking,5
2021-04-15 13:50:58,negative,public speaking,15
2020-12-01 15:06:19,positive,public speaking,70
2020-11-07 00:47:34,negative,public speaking,15
2020-09-13 11:24:46,positive,tennis,70
2021-01-28 21:06:52,negative,tennis,12
2021-01-20 01:15:51,neutral,tennis,20
2020-09-03 01:15:28,positive,tennis,75
2021-01-09 10:46:06,negative,tennis,12
2020-09-19 22:29:36,neutral,tennis,20
2021-05-29 07:21:43,positive,tennis,75
2021-05-15 19:04:28,negative,tennis,12
2020-08-15 12:27:11,positive,tennis,45
2021-02-15 03:32:10,neutral,tennis,35
2021-03-29 19:03:01,negative,tennis,15
2020-07-29 10:40:21,negative,tennis,15
2021-05-08 13:47:13,negative,tennis,5
2020-11-06 02:36:08,positive,tennis,60
2020-07-25 16:31:01,positive,tennis,75
2020-12-04 00:56:40,negative,tennis,12
